Soggetto,Predicato,Oggetto
"Karl Klette","annoDiNascita","1875"
"Karl Klette","annoDiMorte","1956"
"Karl Klette","padre","Franz Leopold Zeno Klette"
"Karl Klette","madre","Francesca Gioseffa Jellersig"
"Maria Klette","haTipo","Persona"
"Maria Klette","titolo","Suor Maria Stanislas di M. Addolorata"
"Maria Klette","annoDiNascita","1881"
"Maria Klette","annoDiMorte","1962"
"Maria Klette","padre","Franz Leopold Zeno Klette"
"Maria Klette","madre","Francesca Gioseffa Jellersig"
"Stefania Klette","haTipo","Persona"
"Stefania Klette","titolo","Suor Lodovica - Dominicana"
"Stefania Klette","annoDiNascita","1883"
"Stefania Klette","annoDiMorte","1966"
"Stefania Klette","padre","Franz Leopold Zeno Klette"
"Stefania Klette","madre","Francesca Gioseffa Jellersig"
"Antonio Klette","haTipo","Persona"
"Antonio Klette","annoDiMorte","1896"
"Antonio Klette","padre","Franz Leopold Zeno Klette"
"Antonio Klette","madre","Francesca Gioseffa Jellersig"
"Gioseffa Klette","haTipo","Persona"
"Gioseffa Klette","annoDiMorte","1920"
"Gioseffa Klette","padre","Franz Leopold Zeno Klette"
"Gioseffa Klette","madre","Francesca Gioseffa Jellersig"
"Amalia Klette","haTipo","Persona"
"Amalia Klette","annoDiMorte","1924"
"Amalia Klette","padre","Franz Leopold Zeno Klette"
"Amalia Klette","madre","Francesca Gioseffa Jellersig"
"Francesco Klette","haTipo","Persona"
"Francesco Klette","padre","Franz Leopold Zeno Klette"
"Francesco Klette","madre","Francesca Gioseffa Jellersig"
